职位,薪资,学历,经验,公司,城市,领域,规模,性质,区域,商圈,纬度,经度,技能列表,福利列表,薪资类型,平均薪资（元）
量化系统 Python - 数据方向,12-24K,本科,经验不限,证量通,武汉,计算机软件,20-99人,不需要融资,洪山区,关山,30.480277,114.402709,Pandas Spark Numpy 量化交易开发经验 Python SQL,"['年终奖', '五险一金']",月薪,18000.0
python人工智能开发,5-10K,学历不限,经验不限,天工科技,石家庄,电子/硬件开发,20-99人,天使轮,桥西区,西里,38.041938,114.457433,视频算法 视觉图像算法 图形图像处理,"['加班补助', '节日福利', '免费工装', '零食下午茶', '年终奖', '生日福利', '员工旅游', '团建聚餐', '股票期权', '定期体检', '绩效奖金', '带薪年假', '五险一金']",月薪,7500.0
Python,8-12K,本科,经验不限,济南华瑞网络科技,上海,企业服务,20-99人,未融资,浦东新区,陆家嘴,31.236821,121.541506,Python C++,"['保底工资', '意外险', '五险一金']",月薪,10000.0
.Net and Python 高级工程师,13-20K,本科,3-5年,汉器,大连,企业服务,20-99人,天使轮,西岗区,新开路,38.917807,121.61917,C# Python/ Django MySQL .Net Python,[],月薪,16500.0
Python,10-15K,本科,5-10年,湖南青云数科,长沙,互联网,100-499人,D轮及以上,雨花区,雨花亭,28.156889,112.995061,Python Django MySQL Redis,"['生日福利', '绩效奖金', '零食下午茶', '餐补', '节假日加班费', '加班补助', '年终奖', '团建聚餐', '五险一金']",月薪,12500.0
Python,10-15K,本科,3-5年,朗科,潍坊,计算机软件,20-99人,,奎文区,高新区,36.713275,119.19182,Python Java Elasticsearch PyTorch TensorFlow MySQL Oracle 架构设计经验 Linux开发/部署经验 分布式经验 微服务经验 爬虫经验,[],月薪,12500.0
单片机 python,2-6K,大专,1-3年,乌兰察布市五湖岳科技,乌兰察布,培训/辅导机构,0-20人,不需要融资,,,40.947214,113.136203,C++ Python,"['绩效奖金', '生日福利', '年终奖', '全勤奖', '有无线网', '员工旅游', '保底工资', '加班补助', '带薪年假', '团建聚餐', '节日福利', '底薪加提成']",月薪,4000.0
Python,8-13K,大专,1-3年,河北瑞通公路,石家庄,工程施工,20-99人,不需要融资,裕华区,开发区,38.037642,114.65575,后端 数据开发 机器学习/算法工程 Python MySQL C/C++ 计算机相关专业 全栈开发经验 机器学习工程经验,"['节日福利', '全勤奖', '五险', '员工旅游', '加班补助', '高温补贴', '绩效奖金', '防暑饮品', '年终奖']",月薪,10500.0
Python,6-11K,本科,1-3年,安徽爱守智能科技,合肥,人工智能,0-20人,,瑶海区,新站区,31.936737,117.330974,爬虫经验 PyTorch MySQL 机器学习经验 其他 架构设计经验 Linux开发/部署经验 Python,[],月薪,8500.0
PYTHON 开发工程师,15-30K,本科,在校/应届,远思基金,广州,基金,0-20人,不需要融资,番禺区,大学城,23.029044,113.413267,Python Numpy Pandas MySQL PostgreSQL 架构设计经验 量化交易开发经验 erp 量化投资 交易系统,"['带薪年假', '五险一金', '绩效奖金', '年终奖', '团建聚餐']",月薪,22500.0
高级爬虫python工程师,10-15K,本科,3-5年,中数智创,石家庄,互联网,100-499人,未融资,长安区,谈固,38.04447,114.578734,Docker Python Hadoop,"['员工旅游', '加班补助', '免费午餐', '有无线网', '带薪年假', '包吃', '团建聚餐', '节日福利', '全勤奖', '工龄奖', '绩效奖金', '五险一金', '生日福利', '节假日加班费']",月薪,12500.0
Python,9-12K,本科,5-10年,双元小兔,重庆,互联网,20-99人,,渝北区,礼嘉,29.671411,106.478145,爬虫经验 Docker k8s Python Flask,"['节日福利', '五险一金']",月薪,10500.0
Python开发,10-15K,大专,1-3年,武汉动策网络科技,武汉,互联网,0-20人,,汉阳区,四新,30.517038,114.216281,Python,[],月薪,12500.0
Python/java（周末双休+线上面试）,20-22K,大专,3-5年,上海瑞应人才科技,北京,计算机软件,500-999人,,通州区,玉桥,39.906452,116.68364,Java Redis 气象预报 若依（ruoyi） 爬虫经验 PyTorch Docker 电力、股票、期货市场 MySQL MongoDB Oracle Linux开发/部署经验 Python TensorFlow,"['带薪年假', '年终奖', '五险一金']",月薪,21000.0
python 模型训练,7-11K,本科,1-3年,智谷数据,上海,互联网,20-99人,不需要融资,浦东新区,陆家嘴,31.236821,121.541506,C++ TensorFlow PyTorch MySQL Oracle OpenCV YOLO,['底薪加提成'],月薪,9000.0
服务端工程师（go/python）,28-45K,本科,5-10年,某中型大数据上市公司,北京,大数据,500-999人,已上市,,,39.993596,116.472991,Python Golang Django Redis AI平台/直播平台 数字人方向 go zero go  gin rabbitMQ,"['定期体检', '补充医疗保险', '年终奖', '交通补助', '带薪年假', '通讯补贴', '股票期权', '五险一金', '节日福利', '餐补', '零食下午茶']",月薪,36500.0
Python,19-20K,大专,3-5年,深圳市云之多创科技,深圳,计算机软件,0-20人,未融资,南山区,科技园,22.530977,113.946928,Scrapy 分布式经验 PostgreSQL Redis 爬虫经验 Elasticsearch Docker Pandas MySQL MongoDB Selenium Spark 架构设计经验 Linux开发/部署经验 Python,"['保底工资', '节日福利', '底薪加提成', '五险一金']",月薪,19500.0
Python,8-12K,本科,3-5年,北京增涨科技有限公司,沈阳,广告营销,0-20人,,和平区,西塔,41.81299,123.434114,Nginx Python,[],月薪,10000.0
自动化脚本 Python,8-9K,本科,3-5年,广州九牛网络信息技术,南昌,社交网络与媒体,0-20人,,南昌县,莲塘,28.566987,115.907326,Python AutoJS,[],月薪,8500.0
python（AI）,15-25K,本科,1-3年,北京某中型计算机软件公司,北京,计算机软件,100-499人,,,,39.993716,116.332112,Django MySQL AI RAG Python,[],月薪,20000.0
Python,6-10K,本科,经验不限,云智环境,青岛,计算机软件,20-99人,未融资,城阳区,上马,36.269084,120.286562,Python Django Flask Numpy Pandas MongoDB MySQL Redis Oracle Linux MySQL Oracle 数据结构,"['定期体检', '五险一金', '员工旅游', '节日福利', '全勤奖', '带薪年假', '年终奖', '零食下午茶']",月薪,8000.0
Python,8-12K,本科,3-5年,世窗信息,石家庄,计算机软件,100-499人,未融资,裕华区,建华,38.023145,114.542878,C++ MySQL 架构设计经验 Python Flask,"['餐补', '五险一金', '带薪年假', '法定节假日三薪', '节日福利', '股票期权', '员工旅游', '有无线网', '意外险', '绩效奖金']",月薪,10000.0
Python,9-11K,本科,1-3年,微创软件,芜湖,计算机软件,10000人以上,不需要融资,鸠江区,凤凰城,31.438191,118.408455,Django PostgreSQL MySQL Redis MongoDB Linux开发/部署经验 Python Flask,"['节日福利', '员工旅游', '年终奖', '五险一金', '补充医疗保险', '免费班车', '带薪年假', '定期体检', '零食下午茶']",月薪,10000.0
python工程师,6-9K,本科,1-3年,河北航天信息,石家庄,计算机软件,1000-9999人,未融资,长安区,育才,38.052794,114.530803,Python Kafka MySQL 机器学习经验,"['节日福利', '年终奖', '带薪年假', '补充医疗保险', '包吃', '通讯补贴', '餐补', '五险一金', '定期体检', '交通补助']",月薪,7500.0
兼职python大模型工程师,11-15K,硕士,5-10年,河北芯优扬信息科技,石家庄,其他专业服务,0-20人,,桥西区,维明,38.034544,114.474095,Python Java PyTorch MySQL,[],月薪,13000.0
vue php python AI C java uni-app,8-13K,本科,3-5年,狄斯塔,沈阳,建筑设计,20-99人,,铁西区,卫工,41.832382,123.327132,PHP Redis TensorFlow,[],月薪,10500.0
python 开发,7-10K,大专,5-10年,青岛宝亿煌科技,大连,计算机软件,100-499人,,甘井子区,高新园区,38.862042,121.516125,Python 日语,[],月薪,8500.0
Python 资深开发工程师,40-55K,本科,经验不限,Veeva,成都,计算机软件,1000-9999人,已上市,武侯区,金融城,30.581176,104.063218,Django MySQL SaaS 架构设计经验 Python,"['带薪年假', '圣诞假', '通讯补贴', '五险一金', '股票期权', '定期体检', '节日福利', '补充医疗保险', '零食下午茶', '餐补', '员工旅游', '健身费', '学习费']",月薪,47500.0
Python/Django web开发工程师,15-25K,本科,5-10年,上海永凡信息技术,上海,人工智能,0-20人,未融资,宝山区,大场,31.30382,121.413113,Nginx Docker 微服务经验 Django MySQL Kafka Redis 架构设计经验 Linux开发/部署经验 Python,"['股票期权', '团建聚餐', '带薪年假', '年终奖', '五险一金', '绩效奖金']",月薪,20000.0
Python 后端开发工程师,10-15K,本科,3-5年,瓦普科技,珠海,互联网,20-99人,不需要融资,香洲区,唐家湾,22.400839,113.539546,Python Nginx Docker MySQL Redis Linux开发/部署经验,"['五险一金', '定期体检', '绩效奖金', '员工旅游', '节日福利', '补充医疗保险', '零食下午茶', '股票期权', '有无线网', '团建聚餐', '通讯补贴', '年终奖', '带薪年假']",月薪,12500.0
Python,15-16K,本科,5-10年,山东艾坦迪数智科技,烟台,计算机软件,0-20人,,蓬莱区,登州,37.792694,120.788049,无,[],月薪,15500.0
RPA+Python开发工程师,6-7K,本科,1-3年,慎行,石家庄,人力资源服务,100-499人,未融资,桥西区,维明,37.998725,114.490575,爬虫经验 微服务经验 MySQL Python,"['交通补助', '全勤奖', '节日福利', '免费班车', '有无线网', '五险一金', '免费工装', '宿舍有空调', '零食下午茶', '包吃']",月薪,6500.0
Python AI,6-11K,大专,3-5年,即合智能科技,广州,计算机软件,0-20人,天使轮,天河区,五山,23.154349,113.337838,Python C++ TensorFlow MySQL Redis 机器学习经验,"['五险一金', '底薪加提成', '绩效奖金']",月薪,8500.0
Python,14-20K,本科,3-5年,深圳市随你科技,深圳,互联网,0-20人,天使轮,宝安区,西乡,22.576688,113.862505,Golang Nginx Django MySQL Kafka Redis Oracle Python,"['节日福利', '带薪年假', '有无线网', '全勤奖', '零食下午茶', '团建聚餐', '股票期权', '年终奖', '五险一金']",月薪,17000.0
后端开发工程师（php和python）,6-8K,大专,经验不限,盘古网络,石家庄,互联网,1000-9999人,天使轮,长安区,跃进,38.051474,114.521487,PostgreSQL MySQL Hadoop PHP Oracle Python Flask,"['底薪加提成', '生日福利', '节日福利', '零食下午茶', '员工旅游', '带薪年假', '团建聚餐', '企业年金', '保底工资', '定期体检', '五险一金']",月薪,7000.0
python/golang开发工程师,10-15K,大专,3-5年,莫尔兹,海口,人工智能,20-99人,A轮,美兰区,国兴,20.018312,110.341964,PostgreSQL MySQL Selenium Python,"['带薪年假', '年终奖', '住房补贴', '住宿公寓', '股票期权', '五险一金', '加班补助', '员工旅游']",月薪,12500.0
Python 后端开发工程师（外包）,9-11K,大专,1-3年,SenseTime,深圳,计算机软件,1000-9999人,已上市,南山区,科技园,22.530374,113.952765,Django MySQL Redis Python Flask,"['通讯补贴', '交通补助', '年终奖', '带薪年假', '住房补贴', '餐补', '股票期权', '零食下午茶', '加班补助', '五险一金', '定期体检', '节日福利', '补充医疗保险', '包吃']",月薪,10000.0
python开发,8-13K,本科,3-5年,河北天海网络工程,石家庄,计算机软件,20-99人,未融资,桥西区,时光街,38.023787,114.434539,无,"['五险一金', '底薪加提成', '通讯补贴', '交通补助', '工龄奖', '有无线网', '保底工资', '员工旅游', '团建聚餐', '节日福利', '餐补', '绩效奖金', '年终奖']",月薪,10500.0
Python 工程师主管,10-15K,本科,3-5年,丰功信息,南昌,计算机服务,20-99人,未融资,青山湖区,京东,28.707649,115.972147,Python Django Flask Docker Nginx MySQL Oracle MongoDB Redis PostgreSQL 团队管理经验 Linux开发/部署经验,"['五险一金', '年终奖', '补充医疗保险', '节日福利', '员工旅游', '交通补助', '带薪年假']",月薪,12500.0
Python 成都浦发,13-17K,本科,3-5年,艾融软件,成都,互联网,1000-9999人,已上市,成华区,建设路,30.666612,104.123825,Golang Docker Django MySQL Oracle Python 银行金融项目,"['股票期权', '免费班车', '带薪年假', '零食下午茶', '五险一金', '餐补', '交通补助', '节日福利', '加班补助', '员工旅游']",月薪,15000.0
Python,5-8K,大专,3-5年,卓景雕塑,石家庄,工艺品/收藏品,100-499人,,新乐市,新乐市中心城区,38.343432,114.670627,网站开发,[],月薪,6500.0
python开发工程师,5-9K,本科,1-3年,河北神奕,石家庄,计算机软件,0-20人,,鹿泉区,上庄镇,38.052229,114.342464,Python Docker MySQL Redis PostgreSQL Linux开发/部署经验 爬虫经验,[],月薪,7000.0
Python,18-23K,本科,5-10年,博彦科技,上海,计算机软件,10000人以上,已上市,长宁区,北新泾,31.217811,121.356689,Python Django Flask MySQL 架构设计经验 Linux开发/部署经验,"['节日福利', '定期体检', '年终奖', '五险一金', '免费班车', '带薪年假']",月薪,20500.0
python工程师,8-12K,本科,3-5年,百达宇航国际贸易,石家庄,进出口贸易,20-99人,不需要融资,裕华区,谈固,37.998193,114.536,Python Java C++ Flask Django MySQL 量化交易开发经验 爬虫经验,"['定期体检', '带薪年假', '团建聚餐', '节日福利', '生日福利', '绩效奖金', '通讯补贴', '餐补', '五险一金', '交通补助', '工龄奖', '全勤奖', '年终奖']",月薪,10000.0
Python/C++编程老师,4-8K,大专,经验不限,天品科技,石家庄,培训/辅导机构,0-20人,不需要融资,裕华区,众美凤凰城,37.997039,114.550928,坐班 熟练掌握计算机语言 理工科教育背景 小班教学（3-25人） 少儿编程、乐高机器人 线下教育 学前儿童/小学生 全职,['五险一金'],月薪,6000.0
python/SQL工程师,8-10K,本科,在校/应届,瀚闻资讯,大连,大数据,20-99人,不需要融资,甘井子区,高新园区,38.847104,121.509296,Python Django Hadoop Hive,"['五险一金', '法定节假日三薪', '节假日加班费', '带薪年假', '零食下午茶', '加班补助', '年终奖', '保底工资']",月薪,9000.0
Python,7-12K,大专,在校/应届,诺讯威尔,宁波,计算机软件,0-20人,未融资,鄞州区,福明,29.874844,121.626976,PyTorch 分布式经验 Docker 微服务经验 MySQL Linux开发/部署经验 Numpy Python Flask,"['定期体检', '五险一金', '绩效奖金']",月薪,9500.0
Python,3-8K,大专,经验不限,河北圣诺联合,石家庄,计算机软件,20-99人,未融资,桥西区,新石北路,38.017873,114.440906,Python Django MySQL,"['节日福利', '零食下午茶']",月薪,5500.0
Python 工程师（目标识别方向）,15-20K,本科,3-5年,湖北凡耕互联科技,武汉,互联网,20-99人,未融资,硚口区,硚口路,30.569359,114.25046,yolo PyTorch PostgreSQL MySQL 其他 Python,"['零食下午茶', '五险一金', '底薪加提成', '带薪年假', '意外险', '团建聚餐', '生日福利', '年终奖', '绩效奖金']",月薪,17500.0
